"enter" "exit" "position" "id" "zone" "name"
47063 46664 2.52440481857109 12 1 "Baker Street "
21125 21169 10.0021947144738 13 3 "Balham LU "
22431 22052 10.0021947144738 13 3 "Balham LU "
22699 22297 10.0021947144738 13 3 "Balham LU "
22855 22188 10.0021947144738 13 3 "Balham LU "
23484 22181 10.0021947144738 13 3 "Balham LU "
21275 20822 10.0021947144738 13 3 "Balham LU "
22236 21962 10.0021947144738 13 3 "Balham LU "
22675 21936 10.0021947144738 13 3 "Balham LU "
22679 21939 10.0021947144738 13 3 "Balham LU "
23392 21931 10.0021947144738 13 3 "Balham LU "
69097 69175 3.07568660894797 14 1 "Bank "
76335 78102 3.07568660894797 14 1 "Bank "
78320 77600 3.07568660894797 14 1 "Bank "
79335 77844 3.07568660894797 14 1 "Bank "
72992 71521 3.07568660894797 14 1 "Bank "
70110 69066 3.07568660894797 14 1 "Bank "
76399 75498 3.07568660894797 14 1 "Bank "
76677 76459 3.07568660894797 14 1 "Bank "
77646 76549 3.07568660894797 14 1 "Bank "
70437 70591 3.07568660894797 14 1 "Bank "
26285 24146 14.1168509608518 15 4 "Barking "
26377 24401 14.1168509608518 15 4 "Barking "
25877 24393 14.1168509608518 15 4 "Barking "
26299 24721 14.1168509608518 15 4 "Barking "
26408 24131 14.1168509608518 15 4 "Barking "
25229 24223 14.1168509608518 15 4 "Barking "
26378 24940 14.1168509608518 15 4 "Barking "
25227 24149 14.1168509608518 15 4 "Barking "
26161 24812 14.1168509608518 15 4 "Barking "
26389 25013 14.1168509608518 15 4 "Barking "
2534 2184 15.8316650649738 16 4 "Barkingside "
2439 1938 15.8316650649738 16 4 "Barkingside "
2574 2237 15.8316650649738 16 4 "Barkingside "
2573 2291 15.8316650649738 16 4 "Barkingside "
2332 2004 15.8316650649738 16 4 "Barkingside "
2379 2156 15.8316650649738 16 4 "Barkingside "
2353 2082 15.8316650649738 16 4 "Barkingside "
2218 2191 15.8316650649738 16 4 "Barkingside "
1991 1822 15.8316650649738 16 4 "Barkingside "
2322 2124 15.8316650649738 16 4 "Barkingside "
14576 7992 7.75666589938964 17 2 "Barons Court "
16176 8859 7.75666589938964 17 2 "Barons Court "
16243 8669 7.75666589938964 17 2 "Barons Court "
16147 8623 7.75666589938964 17 2 "Barons Court "
15465 7925 7.75666589938964 17 2 "Barons Court "
14264 7765 7.75666589938964 17 2 "Barons Court "
15336 8744 7.75666589938964 17 2 "Barons Court "
15742 8470 7.75666589938964 17 2 "Barons Court "
15713 8194 7.75666589938964 17 2 "Barons Court "
11357 10673 7.75666589938964 17 2 "Barons Court "
7480 7153 4.97813659415822 18 1 "Bayswater "
7044 7334 4.97813659415822 18 1 "Bayswater "
7628 7429 4.97813659415822 18 1 "Bayswater "
7624 7401 4.97813659415822 18 1 "Bayswater "
8246 7747 4.97813659415822 18 1 "Bayswater "
7059 6997 4.97813659415822 18 1 "Bayswater "
7113 7027 4.97813659415822 18 1 "Bayswater "
7906 7468 4.97813659415822 18 1 "Bayswater "
7751 7458 4.97813659415822 18 1 "Bayswater "
8119 8264 4.97813659415822 18 1 "Bayswater "
